Text,URL
Alipur,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=141
Vehari,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=14
LalaMusa,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=39
KotAdu,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=68
Sraialamgir,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=127
MuzafarGhar,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=19
ShahrSultan,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=55
Nankana,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=70
Warberten,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=100
Jhang,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=64
Sanglahill,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=97
Shahjewana,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=135
Badomalhi,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=124
Shorkot,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=82
Narowal,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=58
Shakargarh,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=125
MandiBahaudin,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=41
Malakwal,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=121
Sukheke,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=107
Hafizabad,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=104
Basirpur,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=103
Pindibhattian,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=106
Depalpur,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=79
Chiniot,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=81
Havelilakha,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=102
Lalian,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=101
HujraShahmuqeem,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=92
Okara,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=4
RenalaKhurd,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=69
